ts,balance
1609459200.0,0.0
1609462800.0,0.0
1609466400.0,0.0
1609470000.0,0.0
1609473600.0,0.0
1609477200.0,0.0
1609480800.0,0.0
1609484400.0,0.0
1609488000.0,0.0
1609491600.0,0.0
1609495200.0,0.0
1609498800.0,0.0
1609502400.0,0.0
1609506000.0,0.0
1609509600.0,0.0
1609513200.0,0.0
1609516800.0,0.0
1609520400.0,0.0
1609524000.0,0.0
1609527600.0,0.0
1609531200.0,0.0
1609534800.0,0.0
1609538400.0,0.0
1609542000.0,0.0
1609545600.0,0.0
1609549200.0,0.0
1609552800.0,0.0
1609556400.0,0.0
1609560000.0,0.0
1609563600.0,0.0
1609567200.0,0.0
1609570800.0,0.0
1609574400.0,0.0
1609578000.0,0.0
1609581600.0,0.0
1609585200.0,0.0
1609588800.0,0.0
1609592400.0,-0.03164907479801929
1609596000.0,-0.02293458431065937
1609599600.0,-0.035981886890800105
1609603200.0,-0.0617670054730258
1609606800.0,-0.07404873599166015
1609610400.0,-0.07820237164451395
1609614000.0,-0.07958691686213187
1609617600.0,-0.0038115715402658326
1609621200.0,0.025970137459166126
1609624800.0,0.04112878389266446
1609628400.0,0.04143715036186839
1609632000.0,0.050688144437986214
1609635600.0,0.045670675643256095
1609639200.0,0.041669013414330235
1609642800.0,0.04656335414047802
1609646400.0,0.026539651987275918
1609650000.0,0.010255964917262224
1609653600.0,0.0029606268537589187
1609657200.0,-0.01227647163330494
1609660800.0,-0.009598436141639168
1609664400.0,-0.0036728978411143323
1609668000.0,0.005223105113959313
1609671600.0,-0.01133762011036464
1609675200.0,-0.0016258937009330302
1609678800.0,0.004561291745329266
1609682400.0,0.005269278139677688
1609686000.0,0.01701261768071781
1609689600.0,-0.008984612854860876
1609693200.0,-0.0027607627037315
1609696800.0,-0.0062598172145338984
1609700400.0,-0.006081142090578032
1609704000.0,0.021985741964156112
1609707600.0,0.017861324519508177
1609711200.0,0.005562520153879317
1609714800.0,0.0027037181705854407
1609718400.0,-0.002909658640361388
1609722000.0,0.007423719361752934
1609725600.0,0.016104352467275485
1609729200.0,0.01866536257730958
1609732800.0,0.011205676152152124
1609736400.0,-0.0010037906514988038
1609740000.0,0.010103846221090942
1609743600.0,-0.022042786497302173
1609747200.0,-0.026479885408872875
1609750800.0,-0.056646202170088464
1609754400.0,-0.08169049871123585
1609758000.0,-0.0661606525207384
1609761600.0,-0.051196610889434516
1609765200.0,-0.045970363513725396
1609768800.0,-0.02531849710315974
1609772400.0,-0.013937546202945182
1609776000.0,0.00011761720387716904
1609779600.0,0.00969502943684461
1609783200.0,0.004750845849046486
1609786800.0,-0.01106121298362866
1609790400.0,0.0020144423539129284
1609794000.0,0.009042024057324106
1609797600.0,-0.0012194890494267273
1609801200.0,-0.02203792245842576
1609804800.0,-0.03593760839393371
1609808400.0,-0.047085343087176657
1609812000.0,-0.03197293287541634
1609815600.0,0.00346038283713691
1609819200.0,-0.0073026384967089485
1609822800.0,-0.02098064477513806
1609826400.0,0.0008176767060586857
1609830000.0,-0.009032409782505604
1609833600.0,0.003428350035548083
1609837200.0,0.015825044250424115
1609840800.0,0.023245460679764032
1609844400.0,0.00908496450863562
1609848000.0,0.01489155902796984
1609851600.0,0.018894470236121223
1609855200.0,-0.010360007328589872
1609858800.0,-0.0015947393075785438
1609862400.0,-0.014457849237329824
1609866000.0,-0.023112364774321152
1609869600.0,-0.043332603999686636
1609873200.0,-0.05436038705139223
1609876800.0,-0.06304654615524641
1609880400.0,-0.05464517915315794
1609884000.0,-0.0711156557052749
1609887600.0,-0.06345791252446356
1609891200.0,-0.06021444692102073
1609894800.0,-0.05671783278267505
1609898400.0,-0.058885417112780745
1609902000.0,-0.06774561583438066
1609905600.0,-0.10891389632295731
1609909200.0,-0.09646215276242318
1609912800.0,-0.1022212819314631
1609916400.0,-0.086003953914249
1609920000.0,-0.08147892385286049
1609923600.0,-0.09996379855367082
1609927200.0,-0.08532873785061115
1609930800.0,-0.06990064430157289
1609934400.0,-0.07109797596244295
1609938000.0,-0.058910850128586975
1609941600.0,-0.0493036889449391
1609945200.0,-0.0583834540398704
1609948800.0,-0.05929570673386664
1609952400.0,-0.06920220083273201
1609956000.0,-0.0774979987687603
1609959600.0,-0.06543915846999754
1609963200.0,-0.10241390047353252
1609966800.0,-0.09588559213212194
1609970400.0,-0.09930653973460785
1609974000.0,-0.1215712070474535
1609977600.0,-0.1332024288959055
1609981200.0,-0.12550529679031228
1609984800.0,-0.12701621531474355
1609988400.0,-0.1423249558358679
1609992000.0,-0.14290936771795923
1609995600.0,-0.14015835568762683
1609999200.0,-0.13264652491050155
1610002800.0,-0.12405139405925578
1610006400.0,-0.13365855524290365
1610010000.0,-0.1414839728835901
1610013600.0,-0.12856989568420588
1610017200.0,-0.15245951310823233
1610020800.0,-0.15532455672531426
1610024400.0,-0.16132546897800826
1610028000.0,-0.16850945894322863
1610031600.0,-0.18559994300731436
1610035200.0,-0.1882796852959283
1610038800.0,-0.2059830891387928
1610042400.0,-0.18059680713867876
1610046000.0,-0.17602807727124892
1610049600.0,-0.1744110549024395
1610053200.0,-0.15884400622493278
1610056800.0,-0.1578517308999312
1610060400.0,-0.15179759537270643
1610064000.0,-0.13518012379071812
1610067600.0,-0.13255499033596713
1610071200.0,-0.17197605790388332
1610074800.0,-0.14182977684818301
1610078400.0,-0.13378044891546714
1610082000.0,-0.11522103165792133
1610085600.0,-0.12984125457757467
1610089200.0,-0.11957181135774116
1610092800.0,-0.11273093552027934
1610096400.0,-0.13144387542838315
1610100000.0,-0.16820235272386277
1610103600.0,-0.18273119221355655
1610107200.0,-0.18278253086899715
1610110800.0,-0.182936546835319
1610114400.0,-0.18692812729582675
1610118000.0,-0.1699350323449835
1610121600.0,-0.1821921363314301
1610125200.0,-0.17404212478023262
1610128800.0,-0.1464989361363432
1610132400.0,-0.13595051839900382
1610136000.0,-0.16922052789757902
1610139600.0,-0.14379934107560233
1610143200.0,-0.1290515532437771
1610146800.0,-0.1275774966400035
1610150400.0,-0.11991240230038087
1610154000.0,-0.11772588500478338
1610157600.0,-0.11264038972176452
1610161200.0,-0.11878229223748779
1610164800.0,-0.11858575135698464
1610168400.0,-0.09536935984755068
1610172000.0,-0.08738488657711044
1610175600.0,-0.06992692923502676
1610179200.0,-0.05585289313986679
1610182800.0,-0.051828077717389356
1610186400.0,-0.05313995890550817
1610190000.0,-0.057917186628280444
1610193600.0,-0.06603599850946856
1610197200.0,-0.0706647113807557
1610200800.0,-0.06445184009362698
1610204400.0,-0.05816471138075569
1610208000.0,-0.045194414351052724
1610211600.0,-0.05549144405402302
1610215200.0,-0.06143203811342896
1610218800.0,-0.06190233514313193
1610222400.0,-0.06187758266788441
1610226000.0,-0.06524391930154777
1610229600.0,-0.05361025593521114
1610233200.0,-0.049229067816399255
1610236800.0,-0.06039243415303292
1610240400.0,-0.07469936484610223
1610244000.0,-0.07101124603422104
1610247600.0,-0.05504589949956758
1610251200.0,-0.05489738464808243
1610254800.0,-0.057100354945112126
1610258400.0,-0.06853599850946857
1610262000.0,-0.07123401831144877
1610265600.0,-0.06645679058867648
1610269200.0,-0.06521916682630025
1610272800.0,-0.05638253316293391
1610276400.0,-0.023808275737191336
1610280000.0,-0.01512413893020328
1610283600.0,-0.007382269166788708
1610287200.0,-0.017416139847003645
1610290800.0,-0.010540137096602547
1610294400.0,-0.02250947521767113
1610298000.0,-0.04097281593634075
1610301600.0,-0.05327322085650271
1610305200.0,-0.07031042767138544
1610308800.0,-0.06126975738845067
1610312400.0,-0.05228002045922256
1610316000.0,-0.04255174990124767
1610319600.0,-0.034480326891203804
1610323200.0,-0.0115377611649055
1610326800.0,-0.012368059000774366
1610330400.0,-0.03647348004212855
1610334000.0,-0.06156990172629397
1610337600.0,-0.057204142137693155
1610341200.0,-0.07592601914647824
1610344800.0,-0.13292194800870238
1610348400.0,-0.09119278580600257
1610352000.0,-0.06178417213555045
1610355600.0,-0.052142003719008775
1610359200.0,-0.0634447678072882
1610362800.0,-0.029007793966958233
1610366400.0,-0.025877399888376566
1610370000.0,-0.07005398922163189
1610373600.0,-0.05604035591657937
1610377200.0,-0.10726764593149993
1610380800.0,-0.09966108088074074
1610384400.0,-0.0680060678618121
1610388000.0,-0.07631477737879522
1610391600.0,-0.08541339942028026
1610395200.0,-0.05004287193425
1610398800.0,-0.034917509891009606
1610402400.0,-0.04745466519281366
1610406000.0,-0.07882698338934682
1610409600.0,-0.06414144231986271
1610413200.0,-0.04498255006288047
1610416800.0,-0.04227283880738092
1610420400.0,-0.02394586698255064
1610424000.0,-0.032135805058628605
1610427600.0,-0.04942884503808242
1610431200.0,-0.05259638206402198
1610434800.0,-0.06452458455810067
1610438400.0,-0.04648959896896733
1610442000.0,-0.05045615434379254
1610445600.0,-0.02594341285476478
1610449200.0,-0.016801499603262486
1610452800.0,-0.02825025077804106
1610456400.0,-0.07937091833706478
1610460000.0,-0.074216132360361
1610463600.0,-0.06276738118558242
1610467200.0,-0.029133114674603586
1610470800.0,-0.028905278830329385
1610474400.0,-0.030190662588791495
1610478000.0,-0.019422003101231152
1610481600.0,-0.00842483094549977
1610485200.0,0.0049310538089619126
1610488800.0,-0.023880330770531845
1610492400.0,-0.0153943865269765
1610496000.0,-0.06021533601956952
1610499600.0,-0.043301770173308
1610503200.0,-0.04601377297279476
1610506800.0,-0.022218135506330283
1610510400.0,-0.04067725133509501
1610514000.0,-0.03717789288414435
1610517600.0,-0.022743039273972886
1610521200.0,-0.0588070610484766
1610524800.0,-0.04451754298688079
1610528400.0,-0.03892599244103895
1610532000.0,-0.056469852090161754
1610535600.0,-0.040789842622986225
1610539200.0,-0.036766293023861946
1610542800.0,-0.04638139316882807
1610546400.0,-0.036381689018063296
1610550000.0,-0.04886652674475778
1610553600.0,-0.0520912834087618
1610557200.0,-0.053393020043772596
1610560800.0,-0.08010820598501694
1610564400.0,-0.08880617350077091
1610568000.0,-0.09540361144639381
1610571600.0,-0.12735532885120432
1610575200.0,-0.12519562943402732
1610578800.0,-0.1299883870447489
1610582400.0,-0.14205903584212176
1610586000.0,-0.1322664261560178
1610589600.0,-0.13200016184431104
1610593200.0,-0.12055079644092062
1610596800.0,-0.13395276679682724
1610600400.0,-0.13392318187330426
1610604000.0,-0.1434199423241785
